;
Résidence principale;Résidence principale
Résidence secondaire;Résidence secondaire
Location permanente;Location permanente
Location saisonnière;Location saisonnière
Local commercial;Local commercial
Annexe bâti;Annexe bâti
Autre (cf. obs.);Autre (cf. obs.)
