;
puits perdu;puits perdu
puisard;puisard
puits d'infiltration;puits d'infiltration
rejet direct;rejet direct
rejet autorisé;rejet autorisé
rejet non autorisé;rejet non autorisé
rejet autorisation non connue;rejet autorisation non connue
destination inconnue;destination inconnue
inconnu;inconnu
