;
absence de défauts;absence de défauts
corrosion légère;corrosion légère
corrosion moyenne;corrosion moyenne
corrosion importante;corrosion importante
présence de déformation(s);présence de déformation(s)
fissuration sans déformation;fissuration sans déformation
fissuration avec déformation;fissuration avec déformation
rupture des matériaux;rupture des matériaux
étanchéité compromise;étanchéité compromise
ouvrage hors-service;ouvrage hors-service
non renseigné;non renseigné
