;
tranchées d'épandage;tranchées d'épandage
tranchées d'épandage dans la pente;tranchées d'épandage dans la pente
lit d'épandage;lit d'épandage
filtre à sable vertical non drainé;filtre à sable vertical non drainé
filtre à sable vertical drainé;filtre à sable vertical drainé
filtre horizontal;filtre horizontal
tertre;tertre
tertre dans la pente;tertre dans la pente
inconnu;inconnu
non classé/hors normes;non classé/hors normes
